Date : 2022-10-21 14:12:51
Directory : d:\bubbleApp\BubbleApp-Mobile
Total : 348 files,  63732 codes, 2079 comments, 2594 blanks, all 68405 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\pages\profile-view\athlete                                                                                   |          9 |      2,586 |        194 |        143 |      2,923 |
| src\app\pages\profile-view\athlete\athelete-card                                                                     |          4 |      1,228 |        100 |         81 |      1,409 |
| src\app\pages\profile-view\bid-payment                                                                               |          6 |      1,600 |         13 |         76 |      1,689 |
| src\app\pages\profile-view\fan                                                                                       |          5 |        565 |          6 |         24 |        595 |
| src\app\pages\schedule                                                                                               |         30 |      2,934 |         36 |        234 |      3,204 |
| src\app\pages\schedule\approve-request                                                                               |          4 |        123 |          0 |         16 |        139 |
| src\app\pages\schedule\cancel-message-modal                                                                          |          4 |        137 |          0 |         18 |        155 |
| src\app\pages\schedule\cancel-request-modal                                                                          |          4 |        119 |          0 |         16 |        135 |
| src\app\pages\schedule\card                                                                                          |          4 |      1,234 |         14 |         72 |      1,320 |
| src\app\pages\schedule\dismissmodal                                                                                  |          4 |        117 |          0 |         16 |        133 |
| src\app\pages\schedule\meet-otp                                                                                      |          4 |        249 |          0 |         28 |        277 |
| src\app\pages\tabs                                                                                                   |         17 |      2,869 |        123 |        176 |      3,168 |
| src\app\pages\tabs\appereance-booking                                                                                |          4 |      1,641 |         12 |         93 |      1,746 |
| src\app\pages\tabs\payment                                                                                           |          4 |        779 |         83 |         38 |        900 |
| src\app\pages\tabs\terms-conditions                                                                                  |          4 |        114 |          2 |         13 |        129 |
| src\app\pages\waitlist                                                                                               |         22 |      2,272 |         92 |        186 |      2,550 |
| src\app\pages\waitlist\athlete-waitlist                                                                              |          4 |        572 |         52 |         26 |        650 |
| src\app\pages\waitlist\call                                                                                          |          4 |        500 |         15 |         56 |        571 |
| src\app\pages\waitlist\fan-waitlist                                                                                  |          4 |        661 |         14 |         40 |        715 |
| src\app\pages\waitlist\incoming-call                                                                                 |          4 |        341 |          4 |         29 |        374 |
| src\app\pages\welcome-screen                                                                                         |          6 |        206 |          4 |         28 |        238 |
| src\app\pipes                                                                                                        |          5 |         55 |          0 |         12 |         67 |
| src\app\pipes\humanReadable                                                                                          |          2 |         16 |          0 |          6 |         22 |
| src\app\pipes\profile                                                                                                |          2 |         29 |          0 |          5 |         34 |
| src\app\providers                                                                                                    |          6 |        779 |        101 |         89 |        969 |
| src\app\utility                                                                                                      |          1 |         49 |          0 |         12 |         61 |
| src\assets                                                                                                           |         88 |        985 |          0 |         70 |      1,055 |
| src\assets\icon                                                                                                      |         73 |        580 |          0 |         56 |        636 |
| src\assets\images                                                                                                    |         14 |        404 |          0 |         13 |        417 |
| src\environments                                                                                                     |          2 |          6 |         11 |          4 |         21 |
| src\theme                                                                                                            |          1 |        210 |         29 |         46 |        285 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\bubbleApp\BubbleApp-Mobile\.eslintrc.json                                                                         | JSON               |         47 |          0 |          1 |         48 |
| d:\bubbleApp\BubbleApp-Mobile\.well-known\assetlinks.json                                                            | JSON               |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\README.md                                                                              | Markdown           |        103 |          0 |         44 |        147 |
| d:\bubbleApp\BubbleApp-Mobile\angular.json                                                                           | JSON               |        133 |         20 |          2 |        155 |
| d:\bubbleApp\BubbleApp-Mobile\assetlinks.json                                                                        | JSON               |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\capacitor.config.ts                                                                    | TypeScript         |         27 |          0 |          4 |         31 |
| d:\bubbleApp\BubbleApp-Mobile\cypress.config.ts                                                                      | TypeScript         |          8 |          1 |          2 |         11 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\1-getting-started\todo.cy.js                                               | JavaScript         |         58 |         66 |         20 |        144 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\actions.cy.js                                          | JavaScript         |        146 |         92 |         62 |        300 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\aliasing.cy.js                                         | JavaScript         |         15 |         18 |          7 |         40 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\assertions.cy.js                                       | JavaScript         |        107 |         43 |         27 |        177 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\connectors.cy.js                                       | JavaScript         |         69 |         16 |         13 |         98 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\cookies.cy.js                                          | JavaScript         |         42 |         14 |         22 |         78 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\cypress_api.cy.js                                      | JavaScript         |        126 |         35 |         40 |        201 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\files.cy.js                                            | JavaScript         |         10 |         72 |          6 |         88 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\local_storage.cy.js                                    | JavaScript         |         37 |          8 |          8 |         53 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\location.cy.js                                         | JavaScript         |         24 |          4 |          5 |         33 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\misc.cy.js                                             | JavaScript         |         63 |         21 |         21 |        105 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\navigation.cy.js                                       | JavaScript         |         33 |         11 |         13 |         57 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\network_requests.cy.js                                 | JavaScript         |         89 |         61 |         14 |        164 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\querying.cy.js                                         | JavaScript         |         60 |         28 |         27 |        115 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\spies_stubs_clocks.cy.js                               | JavaScript         |        100 |         59 |         45 |        204 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\traversal.cy.js                                        | JavaScript         |         83 |         19 |         20 |        122 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\utilities.cy.js                                        | JavaScript         |         52 |         43 |         14 |        109 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\viewport.cy.js                                         | JavaScript         |         37 |         12 |         11 |         60 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\waiting.cy.js                                          | JavaScript         |         14 |         15 |          3 |         32 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\2-advanced-examples\window.cy.js                                           | JavaScript         |         14 |          4 |          5 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\angular\edit-profile.cy.js                                                 | JavaScript         |         37 |         11 |         16 |         64 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\angular\sample.cy.js                                                       | JavaScript         |         33 |          7 |          9 |         49 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\e2e\angular\signup.cy.js                                                       | JavaScript         |         28 |          2 |          6 |         36 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\fixtures\example.json                                                          | JSON               |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\support\commands.ts                                                            | TypeScript         |         12 |         36 |          3 |         51 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\support\e2e.ts                                                                 | TypeScript         |          1 |         17 |          2 |         20 |
| d:\bubbleApp\BubbleApp-Mobile\cypress\support\indes.d.ts                                                             | TypeScript         |          6 |          5 |          2 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\ionic.config.json                                                                      | JSON               |          7 |          0 |          1 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\karma.conf.js                                                                          | JavaScript         |         37 |          6 |          2 |         45 |
| d:\bubbleApp\BubbleApp-Mobile\package-lock.json                                                                      | JSON               |     31,411 |          0 |          1 |     31,412 |
| d:\bubbleApp\BubbleApp-Mobile\package.json                                                                           | JSON               |         92 |          0 |          1 |         93 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\app-routing.module.ts                                                          | TypeScript         |         95 |          0 |          3 |         98 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\app.component.html                                                             | HTML               |          3 |          7 |          1 |         11 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\app.component.scss                                                             | SCSS               |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\app.component.spec.ts                                                          | TypeScript         |         21 |          1 |          4 |         26 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\app.component.ts                                                               | TypeScript         |        224 |         21 |         27 |        272 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\app.module.ts                                                                  | TypeScript         |         35 |          0 |          4 |         39 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\configuration.ts                                                               | TypeScript         |         20 |          2 |          2 |         24 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directive.module.ts                                          | TypeScript         |         22 |          0 |          2 |         24 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\char-only.directive.ts                            | TypeScript         |         18 |          1 |          4 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\conver-string-to-int.directive.spec.ts            | TypeScript         |          7 |          0 |          2 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\conver-string-to-int.directive.ts                 | TypeScript         |         26 |          0 |          7 |         33 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\phone-mask.directive.ts                           | TypeScript         |         35 |          1 |          6 |         42 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\thousand-spreater.directive.spec.ts               | TypeScript         |          7 |          0 |          2 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\thousand-spreater.directive.ts                    | TypeScript         |         38 |          0 |          3 |         41 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\guard\auth.guard.ts                                                            | TypeScript         |         35 |          1 |          3 |         39 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\helpers\emailValidation.ts                                                     | TypeScript         |          1 |          0 |          1 |          2 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\helpers\whiteSpaceValidator.ts                                                 | TypeScript         |          9 |          0 |          2 |         11 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\interceptor\error.interceptor.ts                                               | TypeScript         |         36 |          4 |          4 |         44 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module-routing.module.ts                                | TypeScript         |         52 |          0 |          3 |         55 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module.module.ts                                        | TypeScript         |         17 |          0 |          3 |         20 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module.service.spec.ts                                  | TypeScript         |         12 |          0 |          5 |         17 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module.service.ts                                       | TypeScript         |         10 |          0 |          2 |         12 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password-routing.module.ts            | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.module.ts                    | TypeScript         |         17 |          0 |          5 |         22 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.html                    | HTML               |        124 |          1 |          7 |        132 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.scss                    | SCSS               |        486 |         16 |         12 |        514 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.spec.ts                 | TypeScript         |         77 |          0 |          5 |         82 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.ts                      | TypeScript         |         63 |          0 |          7 |         70 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login-routing.module.ts                                | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.module.ts                                        | TypeScript         |         18 |          0 |          5 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.html                                        | HTML               |        161 |          3 |         12 |        176 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.scss                                        | SCSS               |        496 |         20 |         18 |        534 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.spec.ts                                     | TypeScript         |        108 |          0 |         11 |        119 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.ts                                          | TypeScript         |        219 |          5 |         22 |        246 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password-routing.module.ts              | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.module.ts                      | TypeScript         |         20 |          0 |          5 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.html                      | HTML               |        244 |          1 |          9 |        254 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.scss                      | SCSS               |        502 |         16 |         13 |        531 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.spec.ts                   | TypeScript         |         79 |          0 |         12 |         91 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.ts                        | TypeScript         |        136 |          0 |         13 |        149 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details-routing.module.ts              | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.module.ts                      | TypeScript         |         20 |          0 |          5 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.html                      | HTML               |        462 |          8 |         12 |        482 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.scss                      | SCSS               |        648 |         22 |         17 |        687 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.spec.ts                   | TypeScript         |         28 |          0 |          6 |         34 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.ts                        | TypeScript         |        257 |          4 |         34 |        295 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup-routing.module.ts                              | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.module.ts                                      | TypeScript         |         19 |          0 |          7 |         26 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.html                                      | HTML               |        270 |          3 |         12 |        285 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.scss                                      | SCSS               |        513 |         16 |         27 |        556 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.spec.ts                                   | TypeScript         |        103 |          0 |          6 |        109 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup\signup.page.ts                                        | TypeScript         |         68 |          0 |         10 |         78 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp-routing.module.ts                      | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.module.ts                              | TypeScript         |         20 |          0 |          5 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.html                              | HTML               |         84 |          6 |          8 |         98 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.scss                              | SCSS               |        461 |         16 |         13 |        490 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.spec.ts                           | TypeScript         |          0 |         29 |          7 |         36 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\verify-otp\verify-otp.page.ts                                | TypeScript         |        178 |          1 |         21 |        200 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list-routing.module.ts                  | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.module.ts                          | TypeScript         |         19 |          0 |          5 |         24 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.html                          | HTML               |        118 |          1 |          7 |        126 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.scss                          | SCSS               |        346 |          0 |          8 |        354 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.spec.ts                       | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen-list\bubble-screen-list.page.ts                            | TypeScript         |        134 |          0 |         11 |        145 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-animations.scss                                     | SCSS               |          0 |          0 |          1 |          1 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen-routing.module.ts                            | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.module.ts                                    | TypeScript         |         18 |          0 |          5 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.html                                    | HTML               |         71 |        310 |         12 |        393 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.scss                                    | SCSS               |      1,061 |         44 |         68 |      1,173 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.spec.ts                                 | TypeScript         |         35 |          1 |          6 |         42 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\bubble-screen\bubble-screen.page.ts                                      | TypeScript         |         83 |          0 |          9 |         92 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page-routing.module.ts                               | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.module.ts                                       | TypeScript         |         18 |          0 |          5 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.html                                       | HTML               |         67 |         10 |          9 |         86 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.scss                                       | SCSS               |      1,049 |         20 |         64 |      1,133 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.spec.ts                                    | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-page\home-page.page.ts                                         | TypeScript         |         72 |          0 |          7 |         79 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home-routing.module.ts                                              | TypeScript         |         23 |          0 |          4 |         27 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\home.module.ts                                                      | TypeScript         |          8 |          0 |          2 |         10 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile-routing.module.ts                 | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.module.ts                         | TypeScript         |         21 |          0 |          5 |         26 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.html                         | HTML               |        301 |          2 |         12 |        315 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.scss                         | SCSS               |        644 |         10 |         16 |        670 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.spec.ts                      | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\edit-profile\edit-profile.page.ts                           | TypeScript         |        338 |          0 |         38 |        376 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\change-password\change-password.component.html | HTML               |        232 |          0 |          5 |        237 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\change-password\change-password.component.scss | SCSS               |        372 |          2 |          6 |        380 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\change-password\change-password.component.ts   | TypeScript         |        127 |          0 |         10 |        137 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile-routing.module.ts                 | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.module.ts                         | TypeScript         |         20 |          0 |          5 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.page.html                         | HTML               |        256 |          2 |         12 |        270 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.page.scss                         | SCSS               |        990 |          5 |         22 |      1,017 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.page.ts                           | TypeScript         |        135 |          1 |         13 |        149 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice-routing.module.ts                                        | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.module.ts                                                | TypeScript         |         17 |          0 |          5 |         22 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.html                                                | HTML               |        246 |          3 |         14 |        263 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.scss                                                | SCSS               |        888 |          6 |         27 |        921 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.spec.ts                                             | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.ts                                                  | TypeScript         |         22 |          0 |          5 |         27 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.html                 | HTML               |         49 |          1 |          3 |         53 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.scss                 | SCSS               |         15 |          0 |          2 |         17 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.spec.ts              | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.ts                   | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.html          | HTML               |        203 |         86 |         14 |        303 |
